split,sample_id,trajectory_rmse
test,2533,0.05619140341877937
test,2534,0.011521691456437111
test,2535,0.03288038820028305
test,2536,0.053144168108701706
test,2537,0.04142487049102783
test,2538,0.0384402796626091
test,2539,0.011818298138678074
test,2540,0.04820637404918671
test,2541,0.030839994549751282
test,2542,0.04873831942677498
test,2543,0.02831600233912468
test,2784,0.015096577815711498
test,2785,0.037111375480890274
test,2786,0.022956665605306625
test,2790,0.08983369171619415
test,2791,0.47118428349494934
test,2793,0.06332676857709885
test,2794,0.011090190149843693
test,2796,0.07154819369316101
test,2797,0.014577100984752178
test,2798,0.028895199298858643
test,2799,0.11617863923311234
test,2800,0.01756424643099308
test,2801,0.09729224443435669
test,2802,0.013325347565114498
test,2803,0.038205843418836594
test,2804,0.02148139476776123
test,2805,0.23979151248931885
test,2806,0.0482967346906662
test,2952,0.011229985393583775
test,2953,0.0953875482082367
test,2954,0.010864198207855225
test,2955,0.016386156901717186
test,2956,0.015282263047993183
test,2957,0.040595151484012604
test,2958,0.013353575952351093
test,2959,0.06538567692041397
test,2960,0.02548825740814209
test,2961,0.0075911846943199635
test,2962,0.047450922429561615
test,2963,0.0067016081884503365
test,2964,0.014433551579713821
test,2965,0.006551351863890886
test,2966,0.00513402558863163
test,2967,0.022492360323667526
test,2968,0.03998725861310959
test,2969,0.013923819176852703
test,2970,0.020055219531059265
test,2971,0.05620870739221573
test,2972,0.00564557733014226
test,2973,0.0055957394652068615
test,2974,0.12645646929740906
test,2975,0.0065026311203837395
test,3122,0.035745520144701004
test,3123,0.021963471546769142
test,3124,0.012829313054680824
test,3125,0.02544344775378704
test,3126,0.019223148003220558
test,3127,0.07845337688922882
test,3128,0.012440807186067104
test,3129,0.051665447652339935
test,3130,0.01514012273401022
test,3131,0.040433358401060104
test,3132,0.029718006029725075
test,3134,0.22639980912208557
test,3135,0.016517316922545433
test,3136,0.018668975681066513
test,3137,0.01942465640604496
test,3138,0.049517445266246796
test,3140,0.044837988913059235
test,3141,0.011065252125263214
test,3142,0.08542138338088989
test,3143,0.08219561725854874
test,3289,0.04675295948982239
test,3290,0.011360187083482742
test,3292,0.20433484017848969
test,3293,0.021436050534248352
test,3294,0.019132539629936218
test,3295,0.0674569308757782
test,3297,0.03422928974032402
test,3298,0.006596833001822233
test,3299,0.030575783923268318
test,3300,0.02166113443672657
test,3301,0.012413009069859982
test,3302,0.02005041018128395
test,3303,0.04955212026834488
test,3304,0.14878161251544952
test,3305,0.01722824014723301
test,3306,0.005810188129544258
test,3308,0.03225766867399216
test,3309,0.009712550789117813
test,3310,0.013828433118760586
test,3311,0.019214771687984467
test,3650,0.029213448986411095
test,3651,0.046565860509872437
test,3652,0.020397933200001717
test,3654,0.02947256527841091
test,3655,0.2632925510406494
test,3656,0.09404883533716202
test,3657,0.029824402183294296
test,3658,0.0921395793557167
test,3660,0.010382704436779022
test,3662,0.021973876282572746
test,3663,0.058267742395401
test,3666,0.024949058890342712
test,3668,0.028064114972949028
test,3669,0.03912796080112457
test,3670,0.020996050909161568
test,3768,0.03779233992099762
test,3769,0.025466617196798325
test,3770,0.05078040435910225
test,3771,0.011848892085254192
test,3772,0.022510431706905365
test,3774,0.02987038716673851
test,3775,0.02811744436621666
test,3776,0.060282621532678604
test,3777,0.05143269896507263
test,3778,0.035882338881492615
test,3779,0.013318055309355259
test,3780,0.05112311616539955
test,3781,0.04699347913265228
test,3782,0.05096811428666115
test,3784,0.05815315991640091
test,3785,0.024606188759207726
test,3786,0.13298730552196503
test,3787,0.040494631975889206
test,3788,0.1569710522890091
test,3789,0.06176794692873955
test,3790,0.10070700198411942
test,3816,0.14124076068401337
test,3817,0.022974101826548576
test,3818,0.032767388969659805
test,3819,0.007682898081839085
test,3820,0.01287173107266426
test,3822,0.030741870403289795
test,3824,0.03334924206137657
test,3826,0.02353471890091896
test,3828,0.05866476893424988
test,3829,0.01742200180888176
test,3830,0.03298977017402649
test,3831,0.016823669895529747
test,3834,0.05545046553015709
test,3835,0.0339437872171402
test,3836,0.05219118669629097
test,3837,0.025755036622285843
test,3838,0.022326404228806496
test,3839,0.021493127569556236
test,3914,0.01767098903656006
test,3918,0.4500315487384796
test,3921,0.021140387281775475
test,3922,0.040353741496801376
test,3923,0.03112635761499405
test,3926,0.018936166539788246
test,3928,0.07028034329414368
test,3932,0.02810143679380417
test,3933,0.0626625120639801
test,3935,0.010602359659969807
test,3985,0.033329762518405914
test,3986,0.03762943670153618
test,3987,0.04674595594406128
test,3988,0.032815996557474136
test,3989,0.11077868193387985
test,3990,0.03365954011678696
test,3991,0.07390514761209488
test,3992,0.07441235333681107
test,3993,0.07074806839227676
test,3994,0.03805423900485039
test,3995,0.05209570378065109
test,3996,0.04415048658847809
test,3997,0.0395781472325325
test,3998,0.06368741393089294
test,3999,0.04545966908335686
test,4000,0.04959835112094879
test,4001,0.04989859089255333
test,4002,0.026012634858489037
test,4003,0.03524694964289665
test,4004,0.06553898751735687
test,4005,0.061341796070337296
test,4006,0.048486147075891495
test,4007,0.04663612321019173
test,4104,0.02274348773062229
test,4105,0.03255435824394226
test,4106,0.024280613288283348
test,4107,0.02536752074956894
test,4108,0.028672417625784874
test,4109,0.022270357236266136
test,4110,0.014622433111071587
test,4111,0.027975980192422867
test,4112,0.019831260666251183
test,4113,0.02904444746673107
test,4114,0.02778291329741478
test,4115,0.04470616206526756
test,4116,0.044431816786527634
test,4117,0.05233529582619667
test,4118,0.02886035665869713
test,4119,0.03296221047639847
test,4120,0.01239011064171791
test,4121,0.037310339510440826
test,4122,0.035015661269426346
test,4123,0.02587985061109066
test,4124,0.03365229815244675
test,4125,0.025566017255187035
test,4126,0.05460852384567261
test,4127,0.028877291828393936
