split,sample_id,plant_family,plant_order,plant_min_damping_ratio,closed_loop_oscillation_hz,trajectory_rmse
test,9198,overdamped_second_order,2,1.0,0.11364045360057744,0.19143705070018768
test,9199,overdamped_second_order,2,1.0,0.059094701175624674,0.19790755212306976
test,9200,overdamped_second_order,2,1.0,0.0,0.05001061409711838
test,9201,overdamped_second_order,2,1.0,0.0,0.059405069798231125
test,9202,overdamped_second_order,2,1.0,0.0,0.1656198501586914
test,9203,overdamped_second_order,2,1.0,1.7219153818571682,0.11998921632766724
test,9204,overdamped_second_order,2,1.0,0.0,0.09263770282268524
test,9205,overdamped_second_order,2,1.0,0.0,0.1334856003522873
test,9206,overdamped_second_order,2,1.0,0.11165395925327959,0.09462470561265945
test,9207,overdamped_second_order,2,1.0,0.0,0.13468939065933228
test,9208,overdamped_second_order,2,1.0,0.0,0.1437567174434662
test,9209,overdamped_second_order,2,1.0,0.0,0.046065282076597214
test,9210,overdamped_second_order,2,1.0,0.0,0.08793345093727112
test,9211,overdamped_second_order,2,1.0,0.0,0.0489165224134922
test,9212,overdamped_second_order,2,1.0,0.2458673160779404,0.08777830004692078
test,9213,overdamped_second_order,2,1.0,0.0,0.17507755756378174
test,9214,overdamped_second_order,2,1.0,0.10175362083444715,0.1618790626525879
test,9215,overdamped_second_order,2,1.0,0.0,0.12466726452112198
test,9252,fourth_order_mixed_complex,4,0.32321321583080154,3.01483813638785,0.20523549616336823
test,9256,fourth_order_mixed_complex,4,0.32321321583080154,2.8119137180519744,0.15097633004188538
test,9257,fourth_order_mixed_complex,4,0.32321321583080154,2.7667907132506655,0.13222922384738922
test,9258,fourth_order_mixed_complex,4,0.32321321583080154,2.9594037239892095,0.39334338903427124
test,9260,fourth_order_mixed_complex,4,0.32321321583080154,3.0129736165584373,0.5153765082359314
test,9262,fourth_order_mixed_complex,4,0.32321321583080154,2.9585649137983614,0.5324928760528564
test,9263,fourth_order_mixed_complex,4,0.32321321583080154,3.019083820172283,0.6714399456977844
test,9264,fourth_order_mixed_complex,4,0.32321321583080154,2.983907235418672,0.5987234115600586
test,9327,third_order_mixed_real_complex,3,0.21709796202429366,0.10656511876884821,0.1707223653793335
test,9329,third_order_mixed_real_complex,3,0.21709796202429366,0.20539162087737592,0.3102036714553833
test,9334,third_order_mixed_real_complex,3,0.21709796202429366,0.14929537638890344,0.46739646792411804
test,9336,third_order_mixed_real_complex,3,0.21709796202429366,0.07854332471700975,0.240942120552063
test,9337,third_order_mixed_real_complex,3,0.21709796202429366,0.12813918980442165,0.37691792845726013
test,9338,third_order_mixed_real_complex,3,0.21709796202429366,0.0764079346238655,0.24656584858894348
test,9339,third_order_mixed_real_complex,3,0.21709796202429366,0.13531016477866623,0.42482325434684753
test,9340,third_order_mixed_real_complex,3,0.21709796202429366,0.078944322986956,0.2398967295885086
test,9341,third_order_mixed_real_complex,3,0.21709796202429366,0.08153873081102207,0.17708256840705872
test,9702,third_order_real_poles,3,1.0,0.011916524760623916,0.178269162774086
test,9703,third_order_real_poles,3,1.0,0.7508881118178234,0.12387342005968094
test,9704,third_order_real_poles,3,1.0,0.6741730361465094,0.18787701427936554
test,9705,third_order_real_poles,3,1.0,0.0,0.06580501794815063
test,9706,third_order_real_poles,3,1.0,0.09795964242510297,0.46567872166633606
test,9707,third_order_real_poles,3,1.0,0.10805509184202293,0.24485903978347778
test,9711,third_order_real_poles,3,1.0,0.13955908536103157,0.5989171862602234
test,9712,third_order_real_poles,3,1.0,0.13429369002433605,0.528173565864563
test,9713,third_order_real_poles,3,1.0,0.13948912473143416,0.5514646768569946
test,9714,third_order_real_poles,3,1.0,0.13609337734022112,0.5276529788970947
test,9715,third_order_real_poles,3,1.0,0.13347431573638766,0.5171939730644226
test,9717,third_order_real_poles,3,1.0,0.14095016604098468,0.5489635467529297
test,9719,third_order_real_poles,3,1.0,0.143108088865025,0.5967764258384705
test,9756,overdamped_second_order,2,1.0,0.5624792423937208,0.22753775119781494
test,9757,overdamped_second_order,2,1.0,0.0,0.3365670442581177
test,9758,overdamped_second_order,2,1.0,0.0,0.23243451118469238
test,9759,overdamped_second_order,2,1.0,0.7015649837852764,0.19248206913471222
test,9760,overdamped_second_order,2,1.0,0.0,0.2324945032596588
test,9761,overdamped_second_order,2,1.0,0.0,0.12441720813512802
test,9762,overdamped_second_order,2,1.0,0.0,0.08545753359794617
test,9763,overdamped_second_order,2,1.0,0.0,0.08175712823867798
test,9764,overdamped_second_order,2,1.0,0.0,0.32125747203826904
test,9765,overdamped_second_order,2,1.0,0.28136448741406356,0.3321823477745056
test,9766,overdamped_second_order,2,1.0,1.3852263825317963,0.14829900860786438
test,9767,overdamped_second_order,2,1.0,0.0,0.0845424011349678
test,9768,overdamped_second_order,2,1.0,0.0,0.19671981036663055
test,9769,overdamped_second_order,2,1.0,0.0,0.12349660694599152
test,9770,overdamped_second_order,2,1.0,0.0,0.2406039834022522
test,9771,overdamped_second_order,2,1.0,0.0,0.12180458754301071
test,9772,overdamped_second_order,2,1.0,0.0,0.1628732979297638
test,9773,overdamped_second_order,2,1.0,0.0,0.17260950803756714
test,9956,near_integrator,2,1.0,0.03968593367985457,0.343936562538147
test,9957,near_integrator,2,1.0,0.0,0.030034977942705154
test,9961,near_integrator,2,1.0,0.008983532825193976,0.19735118746757507
test,9968,near_integrator,2,1.0,0.008562637240207496,0.18439973890781403
test,9971,near_integrator,2,1.0,0.009035764642338828,0.2781320810317993
test,10026,highly_resonant_second_order,2,0.07394665606940405,9.852588009063183,0.09095554798841476
test,10027,highly_resonant_second_order,2,0.07394665606940405,11.742147573223987,0.13060900568962097
test,10028,highly_resonant_second_order,2,0.07394665606940405,14.202329577730355,0.12049116939306259
test,10029,highly_resonant_second_order,2,0.07394665606940405,7.463153812754804,0.08548951894044876
test,10031,highly_resonant_second_order,2,0.07394665606940405,14.038344406453572,0.06946192681789398
test,10035,highly_resonant_second_order,2,0.07394665606940405,5.4037383429658075,0.113504558801651
test,10040,highly_resonant_second_order,2,0.07394665606940405,4.77258582142433,0.09975337237119675
test,10041,highly_resonant_second_order,2,0.07394665606940405,6.25240872532873,0.3175787627696991
test,10042,highly_resonant_second_order,2,0.07394665606940405,6.838700065273119,0.17275428771972656
test,10098,slow_dynamics_family,2,0.7796988093170508,0.006997230948419185,0.23563219606876373
test,10100,slow_dynamics_family,2,0.7796988093170508,0.006684321093790384,0.16085106134414673
test,10102,slow_dynamics_family,2,0.7796988093170508,0.008798164345317858,0.25890177488327026
test,10103,slow_dynamics_family,2,0.7796988093170508,0.02183684218587918,0.47155243158340454
test,10104,slow_dynamics_family,2,0.7796988093170508,0.024545523870504203,0.5148063898086548
test,10107,slow_dynamics_family,2,0.7796988093170508,0.005499666216614892,0.06475284695625305
test,10110,slow_dynamics_family,2,0.7796988093170508,0.0052854731487626165,0.07053573429584503
test,10111,slow_dynamics_family,2,0.7796988093170508,0.005433601840547728,0.06466509401798248
test,10112,slow_dynamics_family,2,0.7796988093170508,0.006869457083997378,0.17909452319145203
test,10113,slow_dynamics_family,2,0.7796988093170508,0.005633786401737539,0.07917425036430359
test,10114,slow_dynamics_family,2,0.7796988093170508,0.007195039684768996,0.21492044627666473
test,10115,slow_dynamics_family,2,0.7796988093170508,0.005590749293147825,0.08525153249502182
test,10116,fourth_order_real,4,1.0,0.01678422146660169,0.032648731023073196
test,10117,fourth_order_real,4,1.0,0.7604495861508582,0.2576022446155548
test,10118,fourth_order_real,4,1.0,0.28520972027340985,0.25972846150398254
